2026-05-19 20:50:25,268 | INFO | root | Continuous 24/7 mode started. Sleeping 60 seconds between cycles.
2026-05-19 20:50:25,268 | INFO | root | === Continuous cycle started ===
2026-05-19 20:50:25,270 | INFO | root | Queued pipeline FIFO ticket 01779198625270093400_25576_a541de39280747adb064425263b2bcd7.ticket for continuous:momentum.
2026-05-19 20:50:25,272 | INFO | root | Acquired pipeline FIFO slot for continuous:momentum.
2026-05-19 20:50:27,921 | INFO | pipeline.alpha_pipeline | Running alpha pipeline for strategy=momentum count=3 run_id=pipeline-momentum-20260519135027-bb9031a1
2026-05-19 20:50:39,147 | INFO | api_layer.session_manager | Dry-run mode enabled; skipping WorldQuant login.
2026-05-19 20:52:10,715 | WARNING | orchestration.hermes_bridge | Hermes falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 20:52:32,828 | INFO | root | Released pipeline FIFO slot for continuous:momentum.
2026-05-19 20:52:32,829 | INFO | root | === Continuous cycle finished. Sleeping 60 seconds ===
2026-05-19 20:53:32,837 | INFO | root | === Continuous cycle started ===
2026-05-19 20:53:32,852 | INFO | root | Queued pipeline FIFO ticket 01779198812850009400_25576_4d425baf80a6449ab51474a1f5a41824.ticket for continuous:momentum.
2026-05-19 20:53:32,854 | INFO | root | Acquired pipeline FIFO slot for continuous:momentum.
2026-05-19 20:53:35,273 | INFO | pipeline.alpha_pipeline | Running alpha pipeline for strategy=momentum count=3 run_id=pipeline-momentum-20260519135335-fa9c7d13
2026-05-19 20:53:44,976 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 20:54:45,789 | INFO | root | Released pipeline FIFO slot for continuous:momentum.
2026-05-19 20:54:45,790 | INFO | root | === Continuous cycle finished. Sleeping 60 seconds ===
2026-05-19 20:55:45,804 | INFO | root | === Continuous cycle started ===
2026-05-19 20:55:45,805 | INFO | root | Queued pipeline FIFO ticket 01779198945804772100_25576_bd7d6fbad3184896a89de6ed0fb426b0.ticket for continuous:momentum.
2026-05-19 20:55:45,807 | INFO | root | Acquired pipeline FIFO slot for continuous:momentum.
2026-05-19 20:55:47,964 | INFO | pipeline.alpha_pipeline | Running alpha pipeline for strategy=momentum count=3 run_id=pipeline-momentum-20260519135547-a2cb1f5e
2026-05-19 20:55:55,627 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 20:55:56,365 | WARNING | orchestration.openai_fallback | OpenRouter fallback request failed: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions
2026-05-19 20:55:56,373 | WARNING | orchestration.deerflow_bridge | DeerFlow gateway returned no text and local CLI is unavailable.
